#DAYS	13522_MAG	13522_ERR	99em_MAG	99em_ERR	98S_MAG	98S_ERR	88Z_MAG	87A_MAG	10jl_MAG	10jl_ERR	97cy_MAG
32.6	0	0	0	0	12.48	0.03	0	0	0	0	0
32.99	0	0	0	0	0	0	0	0	13.643	0.024	0
33	15.8	0.2	0	0	0	0	0	0	0	0	0
33.01	0	0	0	0	0	0	0	3.17	0	0	0
33.05	0	0	0.01101	0.011	0	0	0	0	0	0	0
33.2	0	0	0	0	12.5	0.02	0	0	0	0	0
33.95	0	0	0	0	0	0	0	3.15	0	0	0
34.2	0	0	0	0	12.55	0.01	0	0	0	0	0
35.03	0	0	0	0	0	0	0	3.11	0	0	0
35.04	0	0	0	0	0	0	0	3.1	0	0	0
35.06	0	0	0	0	0	0	0	0	13.64	0.024	0
35.85	0	0	0	0	0	0	0	0	0	0	17.123
35.95	0	0	0	0	0	0	0	3.08	0	0	0
36.2	0	0	0	0	12.64	0.01	0	0	0	0	0
36.94	0	0	0	0	0	0	0	3.04	0	0	0
37.02	0	0	-0.01154	0.01005	0	0	0	0	0	0	0
37.06	0	0	0	0	0	0	0	0	13.651	0.025	0
38.3	0	0	0	0	12.68	0.01	0	0	0	0	0
39.01	0	0	0	0	0	0	0	2.98	0	0	0
39.04	0	0	-0.0353	0.01	0	0	0	0	0	0	0
40.09	0	0	0	0	0	0	0	2.94	0	0	0
40.3	0	0	0	0	12.75	0.12	0	0	0	0	0
40.95	0	0	0	0	0	0	0	2.93	0	0	0
41	15.6	0.2	0	0	0	0	0	0	0	0	0
41	0	0	-0.02994	0.01	0	0	0	0	0	0	0
42	15.8	0.2	0	0	0	0	0	0	0	0	0
42.3	0	0	0	0	12.79	0.01	0	0	0	0	0
42.95	0	0	0	0	0	0	0	2.88	0	0	0
42.98	0	0	-0.0207	0.01002	0	0	0	0	0	0	0
43.95	0	0	0	0	0	0	0	2.85	0	0	0
44.99	0	0	0	0	0	0	0	0	13.706	0.024	0
45.95	0	0	0	0	0	0	0	2.8	0	0	0
45.96	0	0	-0.03886	0.01	0	0	0	0	0	0	0
46.95	0	0	0	0	0	0	0	2.77	0	0	0
47.94	0	0	0	0	0	0	0	2.74	0	0	0
48.3	0	0	0	0	12.99	0.01	0	0	0	0	0
48.95	0	0	-0.04845	0.01007	0	0	0	0	0	0	0
49.93	0	0	-0.04322	0.01001	0	0	0	0	0	0	0
49.94	0	0	0	0	0	0	0	2.689	0	0	0
49.94	0	0	0	0	0	0	0	2.69	0	0	0
50.93	0	0	0	0	0	0	0	2.676	0	0	0
50.93	0	0	0	0	0	0	0	2.68	0	0	0
51.94	0	0	0	0	0	0	0	2.669	0	0	0
51.94	0	0	0	0	0	0	0	2.67	0	0	0
52.2	0	0	0	0	13.11	0.02	0	0	0	0	0
52.92	0	0	-0.05855	0.01	0	0	0	0	0	0	0
53.03	0	0	0	0	0	0	0	0	13.776	0.024	0
53.04	0	0	0	0	0	0	0	2.637	0	0	0
53.04	0	0	0	0	0	0	0	2.64	0	0	0
53.2	0	0	0	0	0	0	0	2.6	0	0	0
53.91	0	0	0	0	0	0	0	0	0	0	17.275
54	0	0	0	0	0	0	0	0	13.772	0.02	0
54.99	0	0	0	0	0	0	0	2.6	0	0	0
54.99	0	0	0	0	0	0	0	2.602	0	0	0
55.94	0	0	0	0	0	0	0	2.58	0	0	0
55.94	0	0	0	0	0	0	0	2.58	0	0	0
56	0	0	0	0	0	0	0	0	13.787	0.025	0
56.3	0	0	0	0	13.22	0.01	0	0	0	0	0
56.94	0	0	0	0	0	0	0	0	13.802	0.024	0
57	0	0	0	0	0	0	16.35	0	0	0	0
57.93	0	0	0	0	0	0	0	2.53	0	0	0
57.93	0	0	0	0	0	0	0	2.535	0	0	0
57.93	0	0	0	0	0	0	0	0	13.8	0.024	0
58.93	0	0	0	0	0	0	0	2.51	0	0	0
58.93	0	0	0	0	0	0	0	2.514	0	0	0
59	0	0	-0.06568	0.01	0	0	16.37	0	0	0	0
59.94	0	0	0	0	0	0	0	2.49	0	0	0
59.94	0	0	0	0	0	0	0	2.495	0	0	0
60.93	0	0	0	0	0	0	0	2.49	0	0	0
60.93	0	0	0	0	0	0	0	2.491	0	0	0
61.94	0	0	0	0	0	0	0	0	13.821	0.024	0
62.9	0	0	0	0	0	0	0	0	13.826	0.024	0
62.93	0	0	0	0	0	0	0	2.47	0	0	0
62.93	0	0	0	0	0	0	0	2.47	0	0	0
62.96	0	0	0	0	0	0	0	0	0	0	17.367
