4.04  0.11359  0.01041
5.08  0.06921  0.01001
6.08  0.03117  0.01000
7.02  0.03114  0.01004
8.09  0.02029  0.01004
10.06 0.01322  0.01012
11.05 0.01936  0.01008
12.06 0.01431  0.01007
14.01 -0.01044 0.01701
16.0  -0.04106 0.01015
17.03 -0.05585 0.01009
18.02 -0.04213 0.01016
19.07 -0.0189  0.01676
21.04 -0.01406 0.01184
24.0  0.00067  0.01007
25.92 -0.02532 0.01000
31.05 0.01044  0.01001
33.05 0.01101  0.01100
37.02 -0.01154 0.01005
39.04 -0.0353  0.01000
41.0  -0.02994 0.01000
42.98 -0.0207  0.01002
45.96 -0.03886 0.01000
48.95 -0.04845 0.01007
49.93 -0.04322 0.01001
52.92 -0.05855 0.01000
59.0  -0.06568 0.01000
63.97 -0.04862 0.01000
68.9  -0.06261 0.01021
73.88 -0.04433 0.01000
78.88 -0.07168 0.01162
92.87  0.03174 0.01034
98.83  0.1212  0.01000
103.8  0.22646 0.01002
129.8  1.78198 0.01574
136.79 1.90542 0.01794
141.79 1.95374 0.02111
146.79 1.95467 0.04182
151.79 1.99122 0.03011
156.8  2.04833 0.02476
159.8  2.09762 0.02529
326.19 3.69745 0.03787
333.17 3.80015 0.04309
335.14 3.85935 0.05201
341.19 3.87777 0.02780
