51481.3,13.718
51481.39,13.621
51481.44,13.67
51482.43,13.577
51482.44,13.62
51483.11,14.18
51483.2,13.654
51483.42,13.61
51483.43,13.539
51483.44,13.6
51484.3,13.629
51484.37,13.539
51484.4,13.65
51484.44,13.59
51485.01,13.43
51485.12,13.67
51485.3,13.623
51485.31,13.65
51485.43,13.54
51485.44,13.528
51485.44,13.57
51485.98,13.6
51486.04,14.24
51486.12,13.71
51486.23,13.68
51486.3,13.628
51487.07,13.83
51487.08,14.25
51487.3,13.621
51487.41,13.521
51487.44,13.59
51488.0,13.3
51488.3,13.630
51488.4,13.527
51488.44,13.58
51489.3,13.683
51489.41,13.522
51489.44,13.58
51490.3,13.618
51491.36,13.497
51491.44,13.54
51492.09,13.54
51492.09,14.22
51492.3,13.579
51493.2,13.563
51493.35,13.467
51493.44,13.53
51494.38,13.452
51494.44,13.52
51495.2,13.547
51495.37,13.466
51495.44,13.53
51496.42,13.489
51496.44,13.56
51498.1,13.547
51498.28,13.6000
51498.28,13.6
51498.3,13.667
51498.39,13.494
51498.44,13.56
51499.3,13.670
51499.31,13.5990
51499.31,13.6
51500.09,13.4
51500.2,13.611
51501.2,13.586
51501.35,13.508
51501.44,13.56
51502.2,13.545
51503.06,13.3
51503.27,13.482
51504.2,13.584
51506.3,13.620
51508.3,13.619
51508.4,13.518
51508.44,13.57
51509.4,13.626
51510.4,13.519
51510.44,13.59
51511.09,13.5
51511.35,13.63
51511.35,13.6330
51511.4,13.626
51514.37,13.496
51514.44,13.56
51516.39,13.472
51516.44,13.54
51517.3,13.64
51518.35,13.478
51518.44,13.55
51520.33,13.487
51520.34,13.54
51522.2,13.606
51522.20,13.6180
51522.2,13.62
51523.04,13.5
51523.31,13.469
51523.34,13.51
51525.01,13.52
51526.3,13.459
51526.34,13.5
51526.89,13.6
51527.07,13.5
51527.28,13.464
51527.34,13.52
51530.23,13.55
51530.27,13.449
51530.34,13.5
51531.26,13.5770
51531.26,13.58
51531.3,13.571
51533.91,13.5
51536.35,13.442
51538.09,13.54
51538.1,13.559
51540.0,13.51
51540.0,13.583
51541.21,13.61
51541.32,13.459
51541.34,13.5
51546.0,13.568
51546.25,13.445
51546.34,13.51
51546.85,13.6
51547.86,13.5
51548.01,13.55
51550.0,13.556
51551.1,13.542
51551.23,13.463
51551.24,13.5
51552.84,13.7
51554.84,13.5
51555.82,13.5
51556.1,13.557
51556.23,13.436
51556.24,13.51
51556.85,13.5
51567.87,13.8
51569.85,13.7
51569.89,13.7
51570.22,13.539
51570.24,13.6
51571.88,13.6
51574.84,13.7
51574.94,13.8
51576.18,13.629
51576.24,13.69
51576.8,13.4
51578.1,13.844
51578.13,13.8280
51578.13,13.83
51578.77,13.9
51578.8,13.7
51581.15,13.734
51581.24,13.77
51582.86,14
51583.82,14.05
51583.86,13.8
51583.9,14
51586.88,14
51588.81,14
51590.03,14.11
51594.78,14.4
51596.77,14.4
51597.83,14.5
51597.9,14.6
51598.71,14.6
51600.82,14.4
51604.24,15.04
51607.1,15.506
51607.14,15.54
51607.14,15.5410
51607.15,15.29
51607.24,15.27
51607.82,15.6
51607.87,15.1
51608.83,15.5
51609.83,15.5
51609.84,15.6
51610.76,15.6
51611.87,15.4
51612.8,15.7
51613.81,15.6
51614.14,15.4
51614.14,15.413
51616.0,15.57
51619.14,15.42
51619.14,15.461
51623.81,15.8
51624.14,15.41
51624.14,15.462
51629.14,15.499
51629.24,15.47
51634.15,15.556
51635.54,15.72
51635.54,15.7210
51636.0,15.704
51637.15,15.605
51637.24,15.61
51642.02,15.76
51665.47,15.9990
51665.47,16
51666.0,15.977
51781.54,16.79
51787.21,17.16
51788.4,17.18
51796.1,17.37
51796.54,16.82
51803.54,16.81
51803.54,17.205
51810.52,17.308
51810.54,16.85
51812.49,17.367
51812.54,16.97
51818.54,17.05
51818.54,17.385
51830.44,17.15
51843.94,19
51848.89,19.1
51866.27,18.05
51941.15,18.86
51985.03,19.47
