55508.86,13.362,0.024
55509.86,13.366,0.024
55511.89,13.358,0.031
55513.84,13.416,0.029
55514.86,13.401,0.024
55515.25,13.85,0.05
55515.85,13.43,0.024
55516.25,13.87,0.05
55516.84,13.404,0.024
55517.25,13.87,0.05
55517.86,13.44,0.024
55521.87,13.471,0.026
55524.82,13.505,0.024
55525.92,13.507,0.024
55529.88,13.534,0.024
55532.93,13.564,0.024
55534.9,13.575,0.021
55537.9,13.599,0.024
55538.92,13.61,0.024
55539.88,13.641,0.025
55540.9,13.629,0.024
55541.85,13.643,0.024
55543.92,13.64,0.024
55545.92,13.651,0.025
55553.85,13.706,0.024
55561.89,13.776,0.024
55562.86,13.772,0.02
55564.86,13.787,0.025
55565.8,13.802,0.024
55566.79,13.8,0.024
55570.8,13.821,0.024
55571.76,13.826,0.024
55572.78,13.828,0.024
55573.87,13.839,0.024
55574.77,13.827,0.024
55590.65,13.908,0.024
55591.66,13.913,0.025
55616.64,13.955,0.024
55619.59,13.966,0.027
55620.68,13.967,0.025
55626.49,13.979,0.025
55629.67,13.977,0.026
55642.53,14.009,0.025
55644.56,14.012,0.025
55649.6,14.006,0.025
55650.51,14.009,0.026
55651.57,13.999,0.026
55659.52,13.999,0.026
55661.55,14.027,0.025
55662.56,14.014,0.026
55686.52,14.022,0.026
55875.89,14.8,1
55915.86,15.1,1
55999.52,15.4,1
